run,il_db,bw3_hz,bw6_hz,bw60_hz,shape_60_6,fc_err_hz,ripple_db,ripple_nom_db,ripple_pv_db,att_p1k,att_m1k,att_p2k,att_m2k,att_p5k,att_m5k
1,10.801359236386245,487.94636581651866,632.1890149693936,2372.6237574834377,3.7530290803903075,-42.56048207357526,2.9990807535186796,3.665699966493259,0.0,53.98511872838214,48.99179464929231,92.31058167669165,82.53393269021963,148.4011111544018,124.20202823477925
2,10.085256575924344,472.04117478616536,608.6871854085475,2301.231279110536,3.780646831863171,-13.696796357631683,2.9784578260890697,4.071965092091862,0.0,54.92130558413457,51.11495107362876,94.22589068987867,83.97770383054788,152.497655767647,124.4404214065269
3,10.098450385643797,493.1984867788851,629.1732633896172,2310.423480624333,3.6721577585435274,-24.458856726065278,2.9920621784384984,3.7572937647002984,0.0,54.40866885861162,51.28585210401523,93.80516396000583,83.6945720934942,152.5321883246544,123.74549719301805
4,8.205850803419493,513.5151997730136,647.3953381888568,2237.672880416736,3.4564241483060645,-35.42051834613085,2.989646879133092,3.3176688833183032,0.0,57.51504445403556,51.49140329208973,96.84186118078618,84.67951389717561,156.07346207116615,124.8486168330194
5,9.06236379218572,513.3403160683811,638.1963227540255,2312.4483614135534,3.623412230635526,5.324584908783436,2.989980200967228,3.4834095041846975,0.0,55.64513220180634,50.04421290041512,93.75533442994652,83.5617180016091,150.1411269053642,125.00212521844587
6,9.326482715177095,507.8998732790351,634.8055419381708,2259.9519467279315,3.5600696550756448,-9.224659722298384,2.983109044555336,3.464821094784865,0.0,57.83743551590955,50.24536421133762,96.2718786538772,84.07115200846094,153.683480733287,125.27179973600772
7,9.994074440851938,483.49673093669116,623.7358245402575,2311.9714527558535,3.7066516973912136,-55.93972663767636,2.9836333098638903,3.9269979465168383,0.0,53.68530200752642,51.69998553532671,93.4905845387673,84.15628943717087,152.24847606777476,124.22240762315845
8,10.796363519067924,491.21951077133417,637.0936939232051,2369.3047278467566,3.718926667216943,-16.52595005184412,2.9604510046729473,3.6894457038227984,0.0,54.04141960031154,49.071487675939174,92.92577516153703,82.30864264317442,150.7624321847813,123.07526902525753
9,7.886851281188644,487.8881527390331,628.8503959216177,2198.3090721014887,3.4957584289658206,-59.055251905694604,2.979637666836485,3.9516735201650803,0.0,58.442497569143626,52.2645046328906,97.38206524654225,85.96943413063907,155.34813955257792,126.81545332877438
10,11.684161074066935,476.5237012207508,627.3452336210757,2388.0974818095565,3.8066719149602988,-15.564156040549278,2.974362087625419,3.9378344897118644,0.0,54.3344652444855,48.30262610411478,93.45097912050981,81.06376579387471,152.89535881087622,121.01662973111995
