run,il_db,bw3_hz,bw6_hz,bw60_hz,shape_60_6,fc_err_hz,ripple_db,ripple_nom_db,ripple_pv_db,att_p1k,att_m1k,att_p2k,att_m2k,att_p5k,att_m5k
1,4.649951985545759,923.7306403350085,1138.6148347500712,6185.248035294935,5.4322566740952505,-64.08051261864603,2.9609131656155387,2.4864238806750016,0.0,21.625956968765102,22.023589601109933,47.62836550826988,43.57561386360443,86.00450615210859,70.48632229325638
2,4.508855394591313,904.0768524874002,1121.8632898088545,6301.410010015592,5.616914348885808,-119.05716889165342,2.994641754759259,2.4827003331801336,0.0,22.71500725759705,21.057960753372495,48.61859423114067,42.263125992260335,87.8700110943581,68.77621316753523
3,4.800355034594776,924.1258629839867,1153.928084578365,6385.329746969044,5.533559527933828,106.34219961799681,2.986440284023587,2.5149285806012225,0.0,22.788431310128004,19.505265183000105,48.52919013084078,41.2072095401783,86.75186611676726,68.54886301084765
4,6.39321663063453,947.5946290455759,1193.4554191753268,6751.939283590764,5.657470882537304,-101.22449266724288,2.9745545570637866,2.432264485753313,0.0,19.08148662942832,19.754784934439492,44.85028621136301,40.81943341546634,83.91813528517048,67.25969256462626
5,6.407368053261459,916.3815735597163,1191.0637914389372,6632.960550095886,5.5689381188244615,-78.72973468899727,2.9669447986977193,2.715209961748881,0.0,21.060229139507733,18.775320583830503,47.21041765897441,40.30394988078662,86.58128148040029,66.96973891155758
6,5.9959740708041975,1010.6577012576163,1201.7232563458383,6385.879170790315,5.31393491560469,-118.7260724157095,2.9691778618785323,1.744556320293115,0.0,22.69926789992886,19.313269246471577,48.65422388099465,41.143372933893815,87.11851805530634,68.4033493355151
7,4.110800465820245,930.4984804391861,1139.6643162369728,6149.919257348403,5.396254993448121,-82.329076198861,2.9879152152156685,2.285965235933265,0.0,22.86508427890158,21.358753128929845,49.13393844553445,42.99734045609665,88.07452507802097,69.83812050068254
8,3.991999823615808,902.728900173679,1123.6390974428505,6269.213144518435,5.579383236829114,54.101906383410096,2.96085036520854,2.8640256354094977,0.0,24.46876657963805,19.27519770205723,49.77368387055573,41.20289766095771,87.31335069058251,69.07920729327614
9,4.12775376750853,936.5146527960896,1122.4004658386111,6047.4365193564445,5.387949046188297,-169.17375833913684,2.977019312966571,2.1937909896319585,0.0,24.070847374758216,21.572566836685752,49.462914992167136,43.4746845144158,86.79078225885246,71.08529599345458
10,4.672208958043403,914.9033416267484,1133.2157630100846,6260.305673792958,5.524372214135224,-86.24004546366632,2.9924465631751813,2.4545275699047844,0.0,22.34749746856316,21.193358575447338,48.43304185534081,42.57628086960774,87.4147666371377,69.27351096673164
11,5.024829571310445,889.6783412471414,1124.5824446398765,6389.564928742126,5.681722099786332,-154.79790007136762,2.995308298083703,2.6418883730616765,0.0,22.759075586068754,20.249652992602293,48.93092603799845,41.40783341824114,88.6264808412005,67.85110811509175
12,4.993093215563414,1097.092414226383,1270.6724275816232,6438.46097981371,5.066971502692914,-36.881466103717685,2.997325039328129,0.9712684592435439,0.0,21.302232369505198,19.36167597591221,47.646965524761086,41.33030544587211,86.188198997327,68.45997707845987
13,5.643735425891818,1004.8938281796873,1202.9919378943741,6515.16670290567,5.415802465234575,-128.03386024199426,2.9811820494630163,1.4257336045161653,0.0,21.013198864034432,19.819517085706913,46.9426424738925,41.287226278159935,85.74027139670872,68.1262872015841
14,5.4111925915613535,895.2299662977457,1147.142215790227,6385.8076832238585,5.566709685446363,45.33234650082886,2.9866794503503806,2.708834464446773,0.0,22.5545687268188,19.471778005998242,48.570529567482936,41.18572822144126,87.05492459268338,68.43827136332146
15,4.457872564006468,877.9247359167784,1100.949931256473,6322.646854776889,5.742901357522307,1.4625620730221272,2.982038861515245,2.7150663170383966,0.0,22.31745620225301,21.179330118337763,47.876148439017705,42.37573844789525,86.29331380704106,69.2321903430159
16,5.671753012836746,906.3520822878927,1145.0891420412809,6458.401221200824,5.640085984649041,-14.05839921347797,2.980864827993999,2.659527209212019,0.0,22.69873150878998,19.47197452796648,48.46607342751975,40.86689434088931,87.19821297751817,67.85221192937756
17,7.3478584717580375,1042.6632335223258,1248.7293754275888,6841.556252516806,5.478814214788634,-121.4663908649236,2.992943919576783,1.2529445444064002,0.0,19.95247602353234,18.302435315686466,45.99816162018867,39.4580305638455,85.26914726078057,66.07418806356011
18,7.567455671612483,981.2748619839549,1226.685025287792,6968.72640206106,5.68094193570687,0.38108772225677967,2.997937224654998,1.9953949987312614,0.0,20.47347141903964,17.451952984293893,46.055532071308534,38.44463507626817,84.6582075585027,65.36230052287517
19,4.840909274597146,1010.2869077660143,1199.891976326704,6350.744276514277,5.292763350211044,-51.16035374812782,2.9791609929048235,1.4552386577198915,0.0,21.48255233769442,20.674225299866258,47.910942950544545,42.162472562072914,87.35164798556785,68.6926147884396
20,5.376523210998428,881.1775136068463,1123.8879932425916,6429.754263984039,5.720992040704339,115.14825185760856,2.971943150715953,2.81482584070444,0.0,22.776877164754367,19.83689318347817,48.611775066404434,41.12245338229384,87.73430440254221,67.878307551456
21,3.2440631238235325,893.1369906272739,1091.2608229983598,5924.76753452234,5.429286390253968,-285.5884238202125,2.9747221586979995,2.754375046004645,0.0,23.302333420730257,23.405611645950785,49.630447834816955,44.78647246038316,88.76716099949245,71.34882800809893
22,5.972930796673673,922.785049058497,1195.0953073929995,6601.94336800836,5.5241982184751,18.98546060360968,2.992543671687816,3.1601814016493375,0.0,23.857990024496218,16.66285555842255,49.46007350205743,38.620810928920136,87.69214757474577,66.56940635877615
23,4.039166070702023,936.472661389038,1141.1274017877877,6146.4595511537045,5.386304405208512,-120.36457083933055,2.9814201940501572,2.1409317738128575,0.0,23.142705856107707,21.162238011859067,48.90535382680843,42.99130785669461,86.78109043792534,70.36317401222162
