run,il_db,bw3_hz,bw6_hz,bw60_hz,shape_60_6,fc_err_hz,ripple_db,ripple_nom_db,ripple_pv_db,att_p1k,att_m1k,att_p2k,att_m2k,att_p5k,att_m5k
17,3.6874753252968633,1602.1630692575127,2092.8228115215898,5579.960429508239,2.6662364337721076,-216.18449989706278,2.9741572126585645,5.285799610334693,0.0,5.712394471671677,5.043070191775679,46.39151921177288,37.81505500141443,109.30056418214363,80.43926908459402
18,3.9717310353332778,2006.7681572288275,2237.395516920835,5633.7509822025895,2.5179951151220292,-167.52727556042373,2.964009926108984,2.54523733483782,0.0,2.9975591145945026,2.8899427424764164,45.604571616442925,37.72518006190211,108.05231632834419,80.14923631495704
19,3.803265399781944,1923.8959516938776,2321.088052108884,5724.609376758337,2.4663473544474526,-212.20702298358083,2.997642056713712,3.2941182570703607,0.0,3.5371268953386372,2.336683358582342,42.594740719414496,37.56183712571575,104.69072783912091,80.70606173236163
20,4.945914902418167,1853.0002863463014,2186.770539941266,5717.726686460897,2.6146898277742796,-61.294148810207844,2.958994379018315,3.5961328386355955,0.0,4.187955778100075,3.860212132074646,45.836595196461715,36.068885706921286,107.35348194482059,79.27618263730434
21,4.197342708923476,2019.4028847068548,2302.664940044284,5738.604813210666,2.492157983306205,-107.11828417144716,2.979557921439045,2.537792896346187,0.0,3.0154655636522847,2.7285860169591007,43.66689210250102,36.696397239697994,105.30529500756484,80.08142839201325
22,3.9730146849203836,2070.021887620911,2268.0389017965645,5590.227547930554,2.4647846840291887,-249.75293039157987,2.9526420477991246,1.811509627517104,0.0855671472683106,2.3090754308994264,2.404704811122454,46.80024023807383,37.67204485611753,110.3109731646416,79.82456422373399
23,3.495222106629922,1978.5245223548263,2236.5271663069725,5531.525833552703,2.473265657973894,-254.57708622328937,2.9435262742864863,2.5985565652474465,0.12572432604978268,3.18019948130053,3.1441000425884327,46.507096648399184,38.53872837554417,109.48012039855371,81.04182044745467
24,3.6595614151733495,2010.3356867954135,2292.712644714862,5708.591134009883,2.489885135483188,-190.2275060787797,2.9732528172709327,2.5650157474231166,0.0,3.081630984542475,2.7931503582629063,43.905637420799486,37.203019825439995,106.7870002587744,79.89693438351603
25,3.873168572894858,1884.5749703645706,2223.400646582246,5650.842880770564,2.5415315451387017,-283.5188490767032,2.993212412653436,3.1862498578039244,0.0,3.7165617036836744,3.6088469731990194,42.72051604178003,39.079003755081494,107.04811909362053,80.65939665852929
26,3.6155163945125364,2004.1920740827918,2259.779899980873,5586.055406592786,2.4719466734968605,-156.4094088356942,2.9369296839644607,2.521875566399983,0.04848103196993181,3.1360426943235558,2.7584489500464775,47.48072361033188,36.808216812500895,109.63471586969395,80.19941861692749
27,3.683438425796787,1765.1257752347738,2185.667993115261,5516.27940190956,2.5238414156612756,-299.26379147544503,2.9840784513389735,3.856048525415244,0.0,4.417826575861868,3.8506904986089263,44.34917508387718,40.21788577348775,108.80889565026911,81.71946897553961
28,3.065007794585587,1989.3039037138224,2198.286657107994,5463.442250398919,2.4853183877240443,-152.87663203850389,2.9905141526797774,2.693479218244722,0.0,3.372707541462047,2.7602101293123535,46.1698708638676,40.19286338850229,108.53828309184776,82.2299414724002
29,4.770834492693551,1923.02652589418,2219.3563149645925,5706.6864427719265,2.5713250298264843,-243.0214212462306,2.9892813540023857,3.034048478254853,0.0,3.6161042283331133,3.483911882368444,44.91404379918556,36.85500782212146,106.50171007674231,79.8055420173053
30,4.570561477275673,1942.5790046863258,2230.529368676245,5621.067687988281,2.5200599314790564,-175.62697592377663,2.992914199231177,3.055154145049106,0.18551702852192076,3.643500103623432,3.1478425681547444,46.65499000727543,37.10401885466626,108.43765697866347,80.08116044057576
31,4.144947502145112,1936.3797317147255,2210.445269851014,5581.171310283244,2.5249081650682172,-228.6573501713574,2.956963536617157,3.1403732170870144,0.12172715579230164,3.713932260600728,3.204720666557669,46.608636183620895,37.72464772322231,108.68191940105106,80.59738310269188
32,3.8592324696323606,1897.092745186761,2293.144233841449,5744.9611709825695,2.5052768535883483,-192.35853951238096,2.9822541352671332,3.544908489374143,0.01124588329012255,3.9168435390893888,2.902154789739142,43.41279958800165,37.001792330476896,106.60259235943637,79.50489623793207
33,3.083332929477511,2094.5261858385056,2339.3660911358893,5672.185901561752,2.4246679145492775,-315.0989518780261,2.9808593674640025,2.4305774993124927,0.0,2.752103898787926,2.177275136803809,43.10499617839961,38.045676579498334,105.32790238396905,81.12114511593643
34,4.640744622767896,1932.2904699649662,2312.0383109115064,5880.475134531036,2.543415957589689,-145.1169378440827,2.991896104519765,3.168511645838988,0.0,3.5858840143442183,3.0437490510966483,42.67205883688847,35.236506194653735,104.27192222748073,78.60848093604723
35,3.4573132165208955,1833.9731658939272,2230.8595996629447,5645.164535053074,2.530488487893182,-238.09815827012062,2.9972118582198624,3.8932025834494857,0.07329436029208747,4.431163431956248,3.7431665836605696,44.48338807811605,37.43785491514727,106.30406892237681,80.99661598770226
36,3.703225590958361,1828.7419522162527,2247.773896532133,5682.105637863278,2.5278813169908387,-159.08423355594277,2.9642034568509956,4.0273787045161065,0.0,4.488636925084763,3.447862982028763,44.8995076405488,36.94948038877101,106.96284008113774,80.07895607613821
37,4.038384751737413,1949.025953181088,2179.5068190861493,5435.367809621617,2.4938521696851703,-206.76699762046337,2.974337381614503,2.7458556685211324,0.022912901698359356,3.481621725589784,3.460892183502717,47.94495907817654,39.35567999580435,109.68371182006689,82.07658965919406
38,3.890983903224904,2044.9208950921893,2299.7689058873802,5658.076033895835,2.460280256599361,-50.89793196320534,2.9825684031192745,2.4897845674620873,0.15870081600569552,2.9162674315857786,2.3688252502471747,45.580204389260714,36.62724507484134,107.23365322578994,80.34517387654589
39,4.317646551023956,1978.7398204095662,2271.494166040793,5546.25491466932,2.441676935642949,-237.58578139543533,2.9975348070137837,3.177837457556987,0.36886034827562053,3.5143861072072435,2.0027038243274724,46.69231224273894,38.33472071557314,110.55114683518501,80.3980921147463
40,3.7988315612245946,1894.233649328351,2211.03351258114,5478.617701733485,2.4778537595921817,-210.97011539898813,2.9919582733267314,3.5285354152216444,0.0,3.9743410047869454,3.105718155497634,48.24576554665019,38.52396657697968,111.0399560338656,80.93629203807473
41,4.562876420828147,1819.0522836893797,2194.7309688664973,5725.99668417871,2.6089742958955875,-360.725202947855,2.9847448373068683,4.255300569257484,0.0,4.83341565675949,3.6096051879650357,42.809215317524576,37.58554675891217,106.19629724655762,80.00080757353054
42,4.003375457202345,1915.9776257891208,2254.12247402966,5645.30215357244,2.5044345276769366,-326.91207752376795,2.974556166570805,3.38254011379457,0.14255223032026532,3.8833949098693297,3.0368000830671997,43.45788892644681,38.72786815935752,106.6228020246879,80.77496973192605
43,3.9669048645111245,1968.2918727993965,2208.940629351884,5616.379378080368,2.542566922556106,-162.57941675372422,2.9943536383100424,2.6739538988071514,0.0,3.3196531733581325,3.220567756741058,45.55149893562986,38.155710630259144,108.62938304217634,80.15788212497652
44,4.226500811051447,1864.224089583382,2140.9351742453873,5441.465328047052,2.541630121969946,-379.6066023353487,2.988636409813733,3.5542363261971364,0.07195028767525535,4.244645365656143,4.030164638470736,47.92647214323302,39.53460538087614,111.16713129132214,81.39609666266718
45,3.0781601737773876,1997.1798485517502,2251.7186579853296,5531.662382548675,2.4566401148436525,-214.71691771410406,2.9856034943813414,2.74237316550842,0.18296263301280558,3.158215251781696,2.804641428510216,45.96968207254213,38.620064742179714,107.71840097661908,81.803191662523
46,4.596305975465094,1657.96512548998,2041.238843029365,5463.520230028778,2.676570774011173,-346.13453336432576,2.97573884537373,4.799209326206822,0.02393424569067637,5.60816220998317,5.474201919518315,46.287549381746786,40.38895887942531,112.13638913426487,80.92675644666352
