run,il_db,bw3_hz,bw6_hz,bw60_hz,shape_60_6,fc_err_hz,ripple_db,ripple_nom_db,ripple_pv_db,att_p1k,att_m1k,att_p2k,att_m2k,att_p5k,att_m5k
1,9.178248906522823,396.8015012331307,599.814318953082,2289.6381957437843,3.8172449763122143,-4.2522562853991985,2.9905177550054205,4.789556682435604,0.0,58.759591001410435,47.73038049438978,96.63208394607585,83.05418779025833,153.3645888017771,125.06154691864808
2,12.456838102564603,493.67947630025446,642.2433037292212,2457.598968986422,3.826585586359932,100.33911027386785,2.9997139375700197,3.7749266222688256,0.0,52.645414916425686,47.02034517637603,90.92364830035002,80.20034913770533,148.35661477267888,121.07424940004343
3,13.051095097574294,452.4178116898984,611.3403551075608,2475.2608471624553,4.048907987968423,6.417271215468645,2.977159275880137,4.302908769617876,0.0,49.352273289828446,48.870333457458266,89.5266562408024,81.12985113915667,148.09812650699337,121.31316639554802
4,15.63984658123178,452.69813924096525,606.5303330570459,2632.5539346300066,4.340350005846133,-144.70416637323797,2.9999087173482906,4.561075813771474,0.0,42.46566277139031,48.66994412522504,84.15959252528866,79.56894645032709,143.36795047889,118.95408106468929
5,12.797107975325439,428.93316059187055,672.9827761072665,2435.588298045099,3.619094551175989,-30.51825749501586,2.97786675972352,4.49177006707076,0.0,51.77926052265397,48.18473994798608,91.09390708956205,81.44686837444232,150.23228004598084,121.50458828054114
6,10.05286791023665,408.2894904203713,583.5941467285156,2358.073279971257,4.040604747648742,-12.40002860315144,2.9796031277010258,5.016137680114793,0.0,49.367445153886976,52.86419190737274,90.89964314358994,85.28638477770997,149.69726789262253,125.3133201931439
7,10.313271869082456,485.45174079574645,627.9313708022237,2303.019914260134,3.6676299693673124,14.88516754284501,2.9865868253133865,3.8124501962983963,0.0,54.552408581599146,51.39877394794629,93.73490230542684,84.09726623485433,151.6210041446049,124.61966782801518
8,12.478675452273508,436.5859062485397,598.429598338902,2466.0687129925936,4.120900302788854,-102.2733338791877,2.9702102073763346,4.838096195567212,0.0,51.26657790385918,47.77744239920973,90.94184351247775,80.23288629236269,149.05432750602412,120.76889711046717
9,8.735942518352696,349.3762970119715,559.4769848939031,2345.8704658411443,4.192970451297484,4.472257912158966,2.9547120595655514,5.591182722927343,0.0,52.81522872276776,50.73325688921571,92.63939989603132,83.9051959836199,150.6240780987923,124.54247215396295
10,11.601932563292326,559.0622933097184,711.6746495719999,2412.4687784723938,3.38984784679804,56.050873674452305,2.987687120461368,3.1860287273647003,0.0,52.66162919953208,48.676533420994296,91.31853352611925,81.60244675050276,148.79808640354236,122.31020679260075
11,10.238398076009663,514.4739905949682,627.0880012046546,2331.349261412397,3.717738590012576,-223.98178070038557,2.958168491524688,3.498912506354122,0.0,54.29584392154529,50.574635367971936,93.17032744526293,83.26148764628759,151.49961849123423,123.56365515889372
12,12.034245311753462,448.56010292842984,605.4593576397747,2463.628769921139,4.069024186074112,118.57793095335364,2.965562173803429,4.577169473702536,0.0,56.118289805188994,43.09301531342582,93.09615857796729,78.71617300821931,148.38687793546745,121.66045539180858
13,11.456858500512727,445.3557885941118,571.3868661001325,2412.2157320529222,4.221685647969014,177.10396431013942,2.945722769606224,4.8570579764917206,0.0,59.11034983583995,42.96676379527969,96.025686608718,78.30187169876842,152.99255270403765,120.636101400863
14,10.723992945031227,264.51324405521154,701.5783146899194,2396.6566934455186,3.416092891218827,20.136954311281443,2.979315298285176,3.518343463396647,1.5795405625515038,53.816272911488355,47.783744599263066,92.34117863297128,82.0028997335354,148.600800514715,123.77633185935174
15,12.734796824353225,521.9981634058058,670.6356352008879,2483.250913951546,3.7028317369501127,-4.059290798380971,2.978903219429087,3.2606565185641827,0.0,52.02413485243336,46.66991899393095,90.81185177685643,79.45519840183003,149.13711873131967,119.89970873811407
16,10.97094549980194,505.88563729450107,690.2161682415754,2349.7597007527947,3.404382291911742,-130.38600423559546,2.9967355042842616,3.5334655245941367,0.0,51.536325909565576,51.945274446587284,91.09500647529944,84.50389509472771,148.33189448916914,125.16913224981221
17,12.391287141548704,303.64745631068945,517.5132292862982,2463.0726356636733,4.759438979097198,127.95495983213186,2.975590519022754,6.159820149261426,0.0,60.15759002970521,39.144751813667305,96.02657384910357,76.38837866763431,151.77434216262046,119.81682432208667
18,10.768700753417924,412.2238324750215,601.2439212631434,2369.570615313947,3.941113633774052,21.937923278659582,2.9929803852240617,4.6322891818402745,0.0,54.169830818889075,49.320949311241264,92.76796807189383,82.0154767316872,150.44992683773214,122.75086348993317
19,13.146815640206995,459.3962058853358,641.3217732366174,2538.121402449906,3.95764109121157,-123.10419681668282,2.9908211146080887,4.546179990074869,0.0,43.64813224239055,50.75398659508771,85.82062214336592,81.88230876678337,144.11876910817443,121.87151008461518
20,14.145623343652145,451.3889757152647,603.5179067719728,2521.843766866252,4.1785732263600925,143.90731861814857,2.9481485844127295,4.421310269367934,0.0,53.59117935863784,43.99008735244277,91.13155659518878,77.71179551709433,147.71467308871078,119.4901894218339
21,13.49998938659475,522.2031934875995,701.589035673067,2534.880793547258,3.6130564542181434,39.44130064919591,2.977994222686016,3.2249026920076336,0.0,48.76191129723316,47.06428484302851,88.2833274621411,79.84133406275284,145.36435325781113,120.79011352065899
22,12.870712116350376,633.0125362705439,750.6769426669925,2475.6414312124252,3.29787860862891,-43.29677552357316,2.9859116986418215,2.11829911181815,0.0,52.603195669957294,46.12097630418029,91.69233674061125,79.41084250892936,150.20165366486893,119.98435279171828
23,11.55071341130942,488.0670903623104,666.9674805290997,2412.6187871210277,3.6172959815178958,-79.31139637343585,2.995335729294734,3.7355212399193736,0.0,51.298744025949176,49.37170249193426,91.6638263140412,82.16889916906318,150.17716681505462,122.57345954983029
24,11.377414451650683,472.00127324461937,653.4187758490443,2456.611312849447,3.759627674698139,-26.431911101564765,2.9869575259997667,3.9403930408506422,0.0,50.7280597716224,48.425477852936304,90.23427024938631,81.1915216352743,148.18993966493355,121.72633688290067
25,11.891092466090365,439.7705984134227,601.8033667523414,2457.6726814359426,4.0838466801853945,-135.23497925698757,2.987812314351121,4.502417084060907,0.0,46.12204233441765,52.04046467647431,87.81895682745353,83.18891547919318,147.6218148068966,122.30922297749999
26,9.994950412586723,472.56321140378714,619.9514912609011,2346.206794405356,3.784500606061089,61.85651799291372,2.981151306239253,4.145890138821278,0.0,58.38953194470824,46.20052767442456,96.00745994484258,80.94302713125141,152.76746024650328,122.99840458445206
27,12.558235183235826,386.6258570905775,596.8299529086798,2440.4579854793847,4.089034026502346,-157.75118593499064,2.9976152265501117,4.920972015539505,0.0,44.85028502837678,53.28820001994425,87.8533557852399,83.93396249929114,148.13483286687492,122.77102057446375
28,8.000730507701503,466.8720693755895,597.7573761697859,2203.8947070073336,3.6869385387246876,45.33573507517576,2.999064226412946,4.223681010416412,0.0,56.16398655876104,54.261333311557976,95.22465949688979,86.51639979802238,153.0203305485563,126.83776376069802
29,13.993651409357707,457.12671946547925,611.6234023459256,2516.9619731698185,4.115215283646489,-45.0033730622381,2.952543053940314,4.35393122686509,0.0,52.02592903906079,45.31632685895856,90.13676435964452,78.72282379543329,146.92632202205405,120.10196391538354
30,14.279988646367856,385.6401562616229,658.0504160504788,2518.9857426807284,3.827952511297399,77.60873437672853,2.9867756167199584,5.060308297381875,0.0,54.98582614844996,42.36529229192248,92.3717231640668,77.15576989492503,148.7537163030797,119.41284000066236
31,11.737127984535963,467.9317316170782,609.921777581796,2390.7653501294553,3.919790107525439,-26.61879561468959,2.9814706202389374,4.124228166522116,0.0,54.68615753256872,47.7973609913402,93.1767493974537,81.24201792384031,150.43499175188452,122.48741332174868
32,12.96605595932484,377.49296960420907,654.57553983666,2552.3012694697827,3.8991699416490158,-22.846856880933046,2.9889849708087084,5.066076600055055,0.0,48.73283266811854,46.22039184813955,88.1855145468069,79.41995941485588,146.5490850465077,119.77657205128932
33,9.905825489652866,378.2481640391052,659.2649322021753,2398.514706697315,3.638165158710077,-174.57564164325595,2.999040031940254,4.670841533690096,0.0,50.00081213110694,51.21168225389664,89.91947372433577,83.85332348461044,147.82024194226474,124.27413276672534
34,15.243014583227838,433.9878359865397,698.9298144560307,2668.326209904626,3.817731272461677,43.560756247490644,2.9981036171753974,3.911006435362422,0.0,49.66992051796782,41.33952019370701,87.20776447761841,75.73018278382919,143.5930969157126,117.38834486785852
35,12.615178212196223,388.1409230399877,602.3273398168385,2503.314353996888,4.156069612842279,-89.23992644436657,2.975208672920088,5.246743706756838,0.0,49.174651209712344,47.43527527750157,89.14833660418958,80.7768780595523,146.46676177707423,121.82626146119783
36,11.42479705582463,403.6361294686794,571.5730414055288,2438.769597094506,4.266768060119562,73.51969154924154,2.993787009661114,5.151905892003626,0.0,55.895343098393454,44.60188753055873,93.21298042307087,79.31485128461743,149.4364846496427,121.450158341233
37,13.842737840106729,507.33942354656756,702.6952301114798,2435.9694993160665,3.4666088439644165,10.240232998505235,2.9681324863261445,3.5678851572647368,0.0,52.73879582085185,47.45341580135952,91.89930838050059,80.8009830956022,149.28785767261513,121.94753830629703
38,12.47788945026116,577.7455670684576,716.2750078495592,2477.3861451745033,3.4587080632790057,128.82488910853863,2.942953826949452,2.299435170958077,0.0,52.94125135110782,45.542009442159944,91.5355751836391,79.64653219752752,148.1992126002134,121.43466707466916
39,14.10729361223687,552.5449527557939,772.7900368478149,2505.1805546805263,3.2417350576866584,-47.11444151774049,2.9979311368658017,2.859633093814171,0.0,49.929298781992784,46.95566736586924,89.86406216961706,79.97103083907616,149.21067866800644,119.92725242770703
40,10.966185793596917,459.928567700088,634.3135002404451,2329.789471147582,3.6729306096503445,21.16682712547481,2.9963889301009274,4.324098195261989,0.0,57.20197104022953,47.94957492863764,95.2182663523113,81.88188241651572,153.05656425676838,122.90353931046
41,16.282608507122355,467.40060752630234,681.5311696585268,2676.3344709686935,3.9269436089176075,-184.8977219723165,2.994253553919904,4.0070149368831345,0.0,44.42275495951351,44.93084892617894,85.46171486184343,77.50209826302269,143.73393343091783,117.94399628849251
42,12.792825841936377,441.7897754441947,584.0961950737983,2486.3949148673564,4.256824365296901,-220.43226822838187,2.993659544612486,4.801261978288487,0.0,43.852933822869595,52.53393576310781,86.50806821434364,83.06555694564543,146.08227159706573,122.1607074902303
43,11.917585337687068,473.6847750823945,648.848114060238,2430.299066187814,3.7455592665284203,58.822470996528864,2.9856521059679935,4.160828529236085,0.0,53.622268113905605,47.081268320031235,92.01345782751518,80.52498858700302,150.03801185444013,121.23009860479648
44,12.524562843136703,456.2386411987245,600.644621366635,2372.6248742602766,3.9501308924766354,-166.13046292588115,2.9829163571103177,4.446643437654998,0.0,53.10430626446859,49.79057337123274,92.77087021891376,82.36257901574541,151.62337385191012,122.4907640916531
45,9.800689408614906,463.18952137604356,633.6635628938675,2332.1484503932297,3.6804206316402035,-6.816758161410689,2.99628398981746,4.071169934332714,0.0,55.69070182529464,48.82728580472256,93.97240176991394,83.12825237493762,150.85271292243942,124.58077552762587
46,17.68563054666175,549.0418537724763,744.0406238101423,2646.4607973042876,3.5568767519064766,-74.78319228254259,2.961084174005599,3.0521464370672717,0.0,47.106113516059274,43.90640726390146,87.93021278306058,76.73748586909039,148.04832409660088,116.5147748751507
47,10.549002268182432,355.75186621397734,580.1420826185495,2410.751469070092,4.155450089379554,192.65998392924666,2.9874372125929742,5.135757017988681,0.0,60.0482966700614,41.02765275811984,96.0425370655464,78.29532945856279,151.76196920529733,121.4448992899432
48,15.364093401577248,368.9299053642899,681.6120377052575,2633.1211172267795,3.86307895337581,-42.80366329476237,2.9916652753422017,4.652297909966778,0.0,47.17579729934858,44.770112013939105,86.21280054460898,77.98066486445207,144.4806083450661,118.33306424720323
49,14.60206610000986,483.64891161210835,635.093335416168,2477.9681138396263,3.90173849362763,-64.32278754375875,2.959107818569578,3.816994508334144,0.0,52.487099253085404,46.29011546839201,91.79896958680004,79.30568838822052,150.0944272395316,120.07415845087388
50,12.587736367717168,703.4349191039801,797.7773326933384,2456.2153708972037,3.0788232132453435,-71.76891350746155,2.985885825856201,1.299254387674738,0.8750141941205936,52.84106550686954,46.46641820257582,92.20958772450537,80.01117911343053,150.4704408102958,120.87279052830151
51,13.958593868874253,546.9675442259759,727.4961461536586,2524.4614472799003,3.4700684816365945,18.30550000630319,2.989494044769838,3.149576384359584,0.0,47.41047433928176,48.348052224092456,88.05435079363379,80.66684417676353,147.0491961578626,120.54346236739624
52,12.579065355507089,522.5713406596333,691.0116601195186,2454.315185798332,3.5517710155192304,-58.49459234625101,2.973573359234903,3.074523237580552,0.0,52.60718154420165,47.01528278291086,91.54075293292243,80.1218310732666,149.93528501855576,120.58050552201834
53,13.552523810955586,390.85317046940327,617.9970428515226,2481.181747149676,4.014876407338724,-41.21401568129659,2.9738019769934585,4.910293358301248,0.0,53.623294335311236,44.75084972630257,92.35126797633838,78.88831173855976,150.22309589826907,120.08483103628419
54,11.692503957161142,500.28371923416853,650.0782121364027,2429.032235333696,3.736523067510566,-160.01675242558122,2.973063087535932,3.4203843696173486,0.0,53.959836136992514,47.193901122016115,92.05950903666312,80.15844439419016,149.63019114736815,120.97633761748602
55,11.392459832895135,472.17195757851005,591.55011822097,2306.702787304297,3.8994207189772583,5.229843854904175,2.9546442311597243,4.472429158446973,0.0,57.38111136467465,48.79383344463767,95.75830421758754,82.47912445565039,153.92496226734718,123.30963644402163
56,13.227705696959873,470.88128351792693,626.641894320026,2455.143125558272,3.917936460699562,10.910289648920298,2.991507654703465,4.009570555845123,0.0,50.48623458702266,48.89595931838808,89.58406128512352,81.46978519602195,146.68559652385215,122.28770819977807
57,12.712126598484929,702.9272483643144,792.4687620848417,2427.079505166039,3.062681611298889,-105.27063967101276,2.9903965060244992,0.9807741096175668,0.5402288498089032,50.565813776848685,49.53199090565677,90.86861343585565,82.01628630067505,149.7399631110955,122.0590121283222
58,12.157771683524533,336.5531205162406,552.9538866914809,2448.379423584789,4.427818453785199,-127.81554125249386,2.972570943156917,5.669186556331468,0.0,46.46772729995266,51.71906233047685,88.4039897490776,83.32545926533352,147.76512139801343,122.78996484481617
59,11.776135952507934,502.07671676389873,675.0946340952069,2415.6188144758344,3.5781928821184583,55.14187494665384,2.9945629266847096,3.384723046987462,0.0,51.760497263408205,49.12108806643634,91.12394876953131,81.97145876703767,149.66955265337387,122.16345382844162
60,14.928881762511965,453.28683415055275,679.5370886642486,2611.461088689044,3.8430000838104905,59.00165932625532,2.987434921218634,4.307136426076214,0.0,46.83449896714168,46.22452897899414,86.67733597951833,78.17139326590129,144.91257755577465,118.34664924750187
61,12.806860189525395,517.6991839520633,659.6099217273295,2481.247435765341,3.761689074154107,-180.66333674639463,2.943469270084819,3.142820185885448,0.0,49.151289511511465,48.900709876999464,88.98669271324631,81.1975281008432,147.44515095266019,121.29548611666758
62,11.99814663358639,469.0430638473481,626.7941517159343,2427.3831594474614,3.872695928642872,122.6903514303267,2.960055638435108,4.010432194855973,0.0,55.00324954153892,45.80146043702984,93.10245171286213,80.02763464270637,150.19960931899877,121.53816321241123
63,14.196567398783452,749.8258630540222,845.6384571120143,2610.6654361542314,3.087212288180526,32.95782076753676,2.991714966365455,0.9322188571669141,0.34032136926659184,50.15867992382473,42.609679610230806,88.81957506358104,77.08267376470707,145.00467333504938,119.24506214476392
64,13.716309673570564,387.5249142628163,600.1094170622528,2525.5649244431406,4.20850740321102,6.567234063521028,2.9928694979577095,4.885135002557774,0.0,50.58564473158948,45.99439568563272,89.58071688139749,79.08671804658019,147.69914055715296,119.63361074009785
