run,il_db,bw3_hz,bw6_hz,bw60_hz,shape_60_6,fc_err_hz,ripple_db,ripple_nom_db,ripple_pv_db,att_p1k,att_m1k,att_p2k,att_m2k,att_p5k,att_m5k
1,7.787999175396609,477.0397284477949,611.4274375587702,3452.8609052766114,5.647212887702188,-18.529121171683073,2.996022414271809,2.4177703875390444,0.0,43.5062852533489,39.472346285544795,69.6177932006884,61.68676586075834,108.72534955721629,88.64542862609629
2,10.396631183991097,478.2327998317778,627.5729906633496,3721.575874224305,5.930108417015477,-42.172755463048816,2.9888387460001127,2.3388906017608537,0.0,40.44013805973735,37.42985694640035,66.19948307075546,59.65399225705784,104.11041029089901,87.13317580556107
3,9.80667804237057,491.5693146083504,633.3877571932971,3706.213513702154,5.851413248221489,-29.690783210098743,2.9409467179363524,2.1978754646920464,0.0,40.43030861126572,37.8595457374224,66.41474789318912,59.79018294590647,104.87971497436392,86.88170268880582
4,8.366688217889818,473.3521696459502,612.1156274359673,3556.1364312544465,5.809582817139315,-22.080150041729212,2.9872275904749053,2.3592696296586784,0.0,41.854189895352995,39.09481127403789,67.66861029583751,61.26840443137305,105.62523850620205,88.6847257191664
5,7.735597121699621,471.30042109824717,602.8379850313067,3400.204648490995,5.640329131407363,-19.073757959529757,2.989172576320019,2.427754591649295,0.0,43.299382248571774,40.57550272698888,69.51388831172832,62.646132763051035,108.26554272575812,89.66914445961986
6,7.883258371556055,473.07368929311633,603.7019753791392,3484.3285128530115,5.7716036305244325,-14.31327048689127,2.997194911211972,2.405965021159819,0.0,42.992773294927915,39.45720506175732,68.52398944029514,61.80339916661482,106.13428992282121,89.42239265486097
7,9.729175359721125,495.75063680298626,644.8990235943347,3737.085977360606,5.794838944757608,-24.80528522655368,2.9435695708515137,2.198584573096138,0.0,39.51682238286061,37.83190594545898,65.31316734065382,60.033015345851,102.61540700427683,87.72063289409103
8,7.698515858227891,492.20127904228866,621.8799661006778,3404.539673725143,5.474592942867004,-26.501560393720865,2.993009384758519,2.2035177101943173,0.0,43.67017677337855,39.96062923861177,69.4811824068946,62.53485766458021,107.34132112471973,90.13855774689189
9,9.329475467613799,491.8975323997438,636.1188791524619,3697.835416879505,5.813120059895637,-25.98149625211954,2.9973874777597658,2.333948263702956,0.0,39.857122256937295,38.341436690374,65.7393331756623,60.36152552975751,103.32192010402271,87.85692795054511
10,7.949164733123501,459.19431057572365,586.1249018199742,3424.103847300634,5.841935458924304,2.4436403922736645,2.9806584351880847,2.5634766471419717,0.0,43.653578614135306,40.11545689887497,69.38592353009828,62.244732747258894,107.66690208953696,89.49802410987658
11,9.199359953425395,473.77169216424227,618.0457957591861,3714.6354818399996,6.010291643966398,-5.141129173338413,2.996249079213264,2.347690003919354,0.0,40.47695257909657,37.815265525630224,66.22605269354646,59.75608841061335,104.33911896997786,86.998039833426
12,9.796270438050414,472.97846591100097,621.5228694863617,3642.458582310006,5.860538302187018,-22.689467772841454,2.9526097288106055,2.429544807297667,0.0,41.36401137503747,37.96031418114888,67.32392942556389,60.15231231423606,105.79331138389513,87.36027321603645
13,9.82559897975718,462.2352821305394,608.6029590200633,3620.4952041786164,5.9488623091943635,-58.49415631592274,2.9800910009731627,2.5893084810485956,0.0,41.50265458976536,38.34828221954922,67.29197452605918,60.494335025646926,105.44770406921269,87.82351238397717
14,10.88178331240941,470.52087442576885,617.4911213889718,3720.178373599425,6.024666986678825,-45.22467672266066,2.9697749726128766,2.4860633486798527,0.0,40.44296695545557,37.80719690716006,66.59795894128116,59.49863644367832,105.77352817856314,86.20262411771127
15,8.557912356585295,477.2128824945539,613.3239917065948,3519.943144639954,5.739125147942758,-27.228007595986128,2.982685247424225,2.290415982759507,0.0,42.525743573771926,39.1953292422745,68.62676954381551,61.25207298809469,107.55285565425321,88.22298500802995
16,11.37263391471989,477.42670815624297,632.5129113532603,3857.311958707869,6.098392443017735,-18.83410600759089,2.952363190987578,2.3281498289367217,0.0,39.10129993496113,36.54228242190654,64.62316970515533,58.6552647045532,102.03184985922493,86.27774863135814
17,7.519604230222519,471.8223188817501,599.6887880042195,3447.436760654673,5.7487097134629375,-31.771068785339594,2.967192158472046,2.308800815008067,0.0,42.987973822251604,40.17519634079743,68.75550104487661,62.295303724436586,106.71105019197677,89.66575671005955
18,7.7961436210906445,489.1699053738266,628.2265577800572,3544.693500297144,5.642380851938044,-9.7556953150779,2.9520354246107363,2.2577224037529557,0.0,41.21273164572525,39.62507430786478,67.29537426521179,61.755849434233106,105.14180798893578,89.19596754025353
19,6.406555868183669,498.27092823013663,614.5321743376553,3340.7211896982044,5.436202251409935,1.6997454799711704,2.958115710189836,2.029603894559396,0.0,44.51557899734891,40.64272926131611,70.25245099295695,63.07614668834028,108.30839640409656,90.54729656453719
20,6.582170754208515,501.27520187571645,631.1684575006366,3379.297799885273,5.354034663371727,8.582379652187228,2.9452152067471635,2.081004957321615,0.0,44.231615893483344,39.94728661647749,70.34060200711833,62.43207450161668,109.1867165969281,89.61323002574909
21,10.284145575746088,479.2379215620458,629.2862226832658,3770.9559405967593,5.992433656846112,-44.65409567579627,2.9939927289007002,2.365322033211765,0.0,40.146245195004845,37.07606168097393,65.9550801924296,59.09064930438017,104.30117589594518,86.2912821168311
22,8.762824975432073,453.4092302862555,596.1797142736614,3486.1291635520756,5.847446801841123,-16.752926232293248,2.946318471663419,2.635484141800273,0.0,42.690236749688765,39.631987936227056,68.77762761495882,61.69699852923569,107.51286149564181,88.72657016963839
23,6.9959961888132955,477.69052098318934,602.9458491504192,3379.938971426338,5.60570899723224,5.316586071625352,2.9973785066733623,2.220534347492057,0.0,43.93542368016638,40.545429802709975,70.04332294970403,62.60933690244771,109.02281118998707,89.5682555289188
24,8.945274373601848,450.2035117857158,589.581067821011,3466.000057756901,5.8787506026383,-11.837262611836195,2.9797873871265423,2.6861765907695467,0.0,42.92499539247851,39.81813126971222,68.8450751272652,61.9526170587844,107.20138731475609,89.18089280161901
25,7.872053431146593,499.90519599430263,629.0561334453523,3545.8939776197076,5.636848270119837,26.67495608329773,2.994463033059173,2.220062281446271,0.0,42.45446733685362,38.74800140244055,68.08835033771075,61.11307220970617,105.95858312526919,88.64573684594578
26,10.089476826755348,473.9451478160918,626.9156215153635,3787.0582353956997,6.040778225053198,-3.9534688871353865,2.9807165030238565,2.3896582581736006,0.0,40.09450844647447,36.83835504651989,65.87608292872069,58.89398716888082,104.14691697766149,86.12523679127557
27,8.856775567727732,475.25052135437727,613.0812502987683,3589.4189172741026,5.854719770870334,-12.75598825700581,2.9954379228527515,2.3049918624461796,0.0,41.715954963378366,38.80243215841905,67.6354985083767,60.7777110673001,106.1301424317526,87.87016092072038
28,7.281204576494397,470.10551789589226,600.703445084393,3425.667292641476,5.702759524144568,-17.120036521926522,2.9914826657996434,2.5942325745349395,0.0,43.403897043713954,40.092850055353566,69.2745729564403,62.323088585403205,107.52366714610609,89.63278286150272
29,7.855539201286613,452.03788833878934,588.297171857208,3432.824035452679,5.835187044356379,-27.875888103619218,2.9907331341231638,2.7519574880726436,0.0,43.90491187711442,39.62270293982385,69.67538465496699,61.9128321275004,108.18828835217437,89.15334490496804
30,8.875606628324475,485.20712644793093,627.8031199350953,3669.8377523925155,5.845523279291631,-21.086925035342574,2.960587059363947,2.3474223482460737,0.0,40.546241398538704,38.29437273842698,66.45620107935119,60.308839507529974,104.49165229488474,87.60920002274959
31,10.547348201000403,489.2146276589483,641.0697907004505,3809.588645108044,5.942549002263205,-3.0352013669908047,2.997171185857102,2.190135952498041,0.0,39.551697272097144,36.84976094316024,65.49397292155454,58.83994324926482,103.90435808826201,85.99616736807725
32,9.905888680125134,453.7270722258836,597.1224898900837,3684.416598742828,6.170286098956083,4.783150728791952,2.985204486063422,2.670346473210458,0.0,40.62607596455805,38.34242842892251,66.39405078361092,60.11744777264055,104.60989078294295,87.24693797692555
33,9.212607740064458,489.69100223854184,631.1164039298892,3700.1806148234755,5.862913072426697,13.505498893558979,2.972886797801138,2.1648928095781113,0.0,40.44708395764079,37.91790503065353,66.11165702959048,60.03488621225697,103.71286046304246,87.55869863069347
34,7.650224401351084,481.20545771345496,615.0368227548897,3482.8074554298073,5.662762499047652,-9.735799251124263,2.9568521143189557,2.4362050479494517,0.0,43.3428551041349,39.09259643461798,69.26281511339816,61.396924956230976,108.01187285504433,88.53486315922399
35,8.72026009248313,472.484301045537,610.8335795029998,3520.9679345078766,5.764201662542335,-8.331645349040627,2.983675037907094,2.4253913345003326,0.0,42.538756151467574,39.09321367042347,68.44307607959401,61.32315072865829,106.82036079373836,88.58488070993162
